name,college,number,id,draft_round,position,dob,draft_year,draft_pick
Jahri Evans,Bloomsburg,,9694,4,,"Aug 22, 1983",2006,108
Ha Ha Clinton-Dix,Alabama,,16735,1,,"Dec 21, 1992",2014,21
Jeff Janis,Saginaw Valley,3,16960,7,WR,"Jun 24, 1991",2014,236
David Talley,Grand Valley State,1,2219753,,LB,"Nov 9, 1994",,
Trevor Davis,California,1,2573343,5,WR,"Jul 4, 1993",2016,163
Derrick Mathews,Houston,9,2575572,,LB,"Sep 25, 1992",,
Joe Kerridge,Michigan,0,2576236,,FB,"Sep 17, 1992",,
Reggie Gilbert,Arizona,3,2576755,,LB,"Apr 1, 1993",,
Dean Lowry,Northwestern,4,2974348,4,DE,"Jun 9, 1994",2016,137
Jamaal Williams,BYU,0,2980453,4,RB,"Apr 3, 1995",2017,134
Kenny Clark,UCLA,7,3122752,1,DT,"Oct 4, 1995",2016,27
Raysean Pringle,Southern Utah,3,3140807,,CB,"Aug 31, 1993",,
Aaron Taylor,Ball State,,2972063,,,"Dec 25, 1993",,
Jermaine Whitehead,Auburn,,2574557,,,"Mar 12, 1993",,
DeAngelo Yancey,Purdue,0,3052470,5,WR,"Nov 18, 1994",2017,175
Max McCaffrey,Duke,1,2969896,,WR,"May 17, 1994",,
Davante Adams,Fresno State,7,16800,2,WR,"Dec 24, 1992",2014,53
Michael Clark,Marshall,,3931763,,,"Oct 26, 1995",,
Malachi Dupre,LSU,6,3115366,7,WR,"Oct 12, 1995",2017,247
Martellus Bennett,Texas A&M,,11295,2,,"Mar 10, 1987",2008,61
Montay Crockett,Georgia Southern,6,2973973,,WR,"Dec 11, 1993",,
Geronimo Allison,Illinois,1,3115913,,WR,"Jan 18, 1994",,
Ty Montgomery,Stanford,8,2577134,3,RB,"Jan 22, 1993",2015,94
Devante Mays,Utah State,2,3918026,7,RB,"May 26, 1994",2017,238
Randall Cobb,Kentucky,8,14053,2,WR,"Aug 22, 1990",2011,64
Aaron Jones,UTEP,3,3042519,5,RB,"Dec 2, 1994",2017,182
Mason Crosby,Colorado,2,10636,6,PK,"Sep 3, 1984",2007,193
Taysom Hill,BYU,7,2468609,,QB,"Aug 23, 1990",,
Joe Callahan,Wesley ,3,3078660,,QB,"Jun 4, 1993",,
Brett Hundley,UCLA,7,2577189,5,QB,"Jun 15, 1993",2015,147
Kalif Phillips,Charlotte,,3059488,,,"Mar 22, 1994",,
William Stanback,Virginia Union Panthers,,3054030,,,"Jul 6, 1994",,
Christian Ringo,Louisiana,9,2574023,6,DT,"Mar 10, 1992",2015,210
Thomas Evans,Richmond,,2969030,,,"May 9, 1994",,
Adam Pankey,West Virginia,,2976649,,,"Feb 2, 1994",,
Justin Vogel,Miami,,2980123,,,"Oct 14, 1993",,
Brian Price,UT San Antonio,2,3040661,,DT,"Jun 24, 1994",,
Jake Ryan,Michigan,7,2515337,4,LB,"Feb 27, 1992",2015,129
Cody Heiman,Washburn,,4212999,,,"Nov 19, 1993",,
Josh Letuligasenoa,Cal Poly,,2967751,,,"Feb 2, 1994",,
Mike Daniels,Iowa,6,14994,4,DT,"May 5, 1989",2012,132
Jordy Nelson,Kansas State,2,11270,2,WR,"May 31, 1985",2008,36
Aaron Rodgers,California,2,8439,1,QB,"Dec 2, 1983",2005,24
Damarious Randall,Arizona State,3,3043258,1,CB,"Aug 29, 1992",2015,30
Johnathan Calvin,Mississippi State,6,3894927,,DT,"Nov 28, 1993",,
Kyler Fackrell,Utah State,1,2574229,3,LB,"Nov 25, 1991",2016,88
Izaah Lunsford,Bowling Green,6,2972118,,DT,"Oct 21, 1993",,
Richard Rodgers,California,2,16786,3,TE,"Jan 22, 1992",2014,98
Aaron Peck,Fresno State,,2974029,,,"Oct 9, 1994",,
Lance Kendricks,Wisconsin,4,14007,2,TE,"Jan 30, 1988",2011,47
Calvin Heurtelou,Miami,,3123078,,,"Apr 10, 1993",,
Davon House,New Mexico State,1,14157,4,CB,"Jul 10, 1989",2011,131
Aaron Ripkowski,Oklahoma,2,2577467,6,FB,"Dec 20, 1992",2015,206
Emanuel Byrd,Marshall,6,3931761,,TE,"Dec 9, 1994",,
Ahmad Brooks,Virginia,,10138,,,"Mar 14, 1984",,
Corey Linsley,Ohio State,,16864,5,,"Jul 27, 1991",2014,161
Quinton Dial,Alabama,,16028,5,,"Jul 21, 1990",2013,157
Chris Odom,Arkansas State,8,3042361,,LB,"Sep 16, 1994",,
Vince Biegel,Wisconsin,5,2977798,4,LB,"Jul 2, 1993",2017,108
Derek Hart,James Madison,,2975364,,,"Dec 1, 1992",,
Montravius Adams,Auburn,0,3051894,3,DT,"Jul 24, 1995",2017,93
Mike Hilton,Ole Miss,8,2980383,,CB,"Mar 9, 1994",,
L.J. Fort,Northern Iowa,4,15264,,LB,"Jan 3, 1990",,
Arthur Moats,James Madison,3,13422,6,DE,"Mar 14, 1988",2010,178
Tyson Alualu,California,4,13233,1,DE,"May 12, 1987",2010,10
Keith Kelsey,Louisville,5,3040065,,LB,"Mar 17, 1995",,
T.J. Watt,Wisconsin,0,3045282,1,LB,"Oct 11, 1994",2017,30
Brandon Dixon,Northwest Missouri State,5,16957,6,DB,"Apr 26, 1990",2014,195
Jacob Hagen,Liberty,,2520308,,,"Mar 16, 1992",,
Terrish Webb,Pittsburgh,,3045143,,,"Sep 7, 1995",,
Matt Galambos,Pittsburgh,0,3045149,,LB,"Mar 21, 1995",,
Vince Williams,Florida State,8,15934,6,LB,"Dec 27, 1989",2013,206
Jordan Dangerfield,Towson,,16179,,,"Dec 25, 1990",,
Javon Hargrave,South Carolina State,9,2983055,3,NT,"Feb 7, 1993",2016,89
Farrington Huguenin,Kentucky,1,2576703,,LB,"May 8, 1992",,
Steven Johnson,Kansas,,15733,,,"Mar 28, 1988",,
L.T. Walton,Central Michigan,6,2516417,6,DE,"Mar 31, 1992",2015,199
Tyler Matakevich,Temple,4,2976249,7,LB,"Dec 22, 1992",2016,246
William Gay,Louisville,5,10613,5,CB,"Jan 1, 1985",2007,170
Cameron Heyward,Ohio State,7,13977,1,DT,"May 6, 1989",2011,31
Robert Golden,Arizona,,15213,,,"Sep 13, 1990",,
Cobi Hamilton,Arkansas,2,15983,6,WR,"Nov 13, 1990",2013,197
Chris Hubbard,UAB,,16076,,,"Apr 23, 1991",,
Ross Cockrell,Duke,7,16843,4,CB,"Aug 6, 1991",2014,109
JaCorey Shepherd,Kansas,,2577237,6,,"Mar 29, 1993",2015,191
Malik Golden,Penn State,,2979584,,,"Apr 27, 1993",,
Jesse James,Penn State,1,2979590,5,TE,"Jun 4, 1994",2015,160
Marcus Tucker,Northern Michigan,6,4012737,,WR,"Jun 24, 1992",,
Terrell Watson,Azusa Pacific,,2581598,,,"Aug 22, 1993",,
Brian Allen,Utah,9,2971632,5,CB,"Oct 21, 1993",2017,173
Stephon Tuitt,Notre Dame,1,16798,2,DE,"May 23, 1993",2014,46
Canaan Severin,Virginia,8,2979681,,WR,"Mar 16, 1993",,
Darrius Heyward-Bey,Maryland,8,12570,1,WR,"Feb 26, 1987",2009,7
Knile Davis,Arkansas,3,15832,3,RB,"Oct 5, 1991",2013,96
JuJu Smith-Schuster,USC,9,3120348,2,WR,"Nov 22, 1996",2017,62
Eli Rogers,Louisville,7,2576643,,WR,"Dec 23, 1992",,
Fitzgerald Toussaint,Michigan,3,17465,,RB,"May 4, 1990",,
Phazahn Odom,Fordham,,2973301,,,"Jun 8, 1994",,
Chris Boswell,Rice,9,17372,,PK,"Mar 16, 1991",,
Joshua Dobbs,Tennessee,5,3044720,4,QB,"Jan 26, 1995",2017,135
Bart Houston,Wisconsin,,2977804,,,"Dec 16, 1992",,
Jordan Berry,Eastern Kentucky,,2472364,,,"Mar 18, 1991",,
Anthony Chickillo,Miami,6,2579601,6,LB,"Dec 10, 1992",2015,212
Sean Davis,Maryland,,2976210,2,,"Oct 23, 1993",2016,58
Coty Sensabaugh,Clemson,4,14998,4,CB,"Nov 15, 1988",2012,115
Greg Ducre,Washington,7,16989,,CB,"Jan 22, 1992",,
Jake McGee,Florida,0,2512657,,TE,"Sep 19, 1991",,
Roy Philon,Louisville,,17027,,,"Mar 26, 1991",,
Artie Burns,Miami,5,3051921,1,CB,"May 1, 1995",2016,25
Johnny Maxey,Mars Hill,3,2581513,,DE,"Oct 19, 1993",,
Trey Williams,Texas A&M,4,2972282,,RB,"Dec 11, 1992",,
Martavis Bryant,Clemson,2,16886,4,WR,"Dec 20, 1991",2014,118
Sammie Coates Jr.,Auburn,8,2574549,3,WR,"Mar 31, 1993",2015,87
Justin Hunter,Tennessee,1,15845,2,WR,"May 20, 1991",2013,34
David Johnson,Arkansas State,,12506,7,,"Aug 26, 1987",2009,241
James Conner,Pittsburgh,0,3045147,3,RB,"May 5, 1995",2017,105
Cameron Sutton,Tennessee,0,3044724,3,CB,"Feb 27, 1995",2017,94
Lavon Hooks,Ole Miss,5,3042645,,DE,"Jan 23, 1992",,
Maurkice Pouncey,Florida,,13250,1,,"Jul 24, 1989",2010,18
Ryan Shazier,Ohio State,0,16727,1,LB,"Sep 6, 1992",2014,15
James Harrison,Kent State,,4433,,,"May 4, 1978",,
Antonio Brown,Central Michigan,4,13934,6,WR,"Jul 10, 1988",2010,195
Xavier Grimble,USC,5,17348,,TE,"Sep 22, 1992",,
Roosevelt Nix,Kent State,5,17223,,FB,"Mar 30, 1992",,
Ben Roethlisberger,Miami (OH),7,5536,1,QB,"Mar 2, 1982",2004,11
Landry Jones,Oklahoma,3,15904,4,QB,"Apr 4, 1989",2013,115
Dan McCullers,Tennessee,3,16952,6,DT,"Aug 11, 1992",2014,215
Dashaun Phillips,Tarleton State,5,17333,,CB,"Jan 3, 1991",,
Francis Kallon,Georgia Tech,3,2971499,,DE,"Feb 2, 1994",,
Austin Gearing,Miami (OH),,2978045,,,"Jul 8, 1994",,
Demarcus Ayers,Houston,4,3040026,7,WR,"Jul 7, 1994",2016,229
Joe Haden,Florida,3,13249,1,CB,"Apr 14, 1989",2010,7
Mike Mitchell,Ohio,,12619,2,,"Jun 10, 1987",2009,47
J.J. Wilcox,Georgia Southern,,15874,3,,"Feb 14, 1991",2013,80
Kameron Canaday,Portland State,7,2967885,,LS,"Aug 20, 1992",,
Le'Veon Bell,Michigan State,6,15825,2,RB,"Feb 18, 1992",2013,48
Vance McDonald,Rice,9,15853,2,TE,"Jun 13, 1990",2013,55
Bud Dupree,Kentucky,8,2576702,1,LB,"Feb 12, 1993",2015,22
Alejandro Villanueva,Army,8,16706,,OT,"Sep 22, 1988",,
David DeCastro,Stanford,,14935,1,,"Jan 11, 1990",2012,24
Ramon Foster,Tennessee,,12883,,,"Jan 7, 1986",,
Sean Spence,Miami,,14972,3,,"Jun 7, 1990",2012,86
Stevan Ridley,LSU,2,14028,3,RB,"Jan 27, 1989",2011,73
Landon Collins,Alabama,,2979841,2,,"Jan 10, 1994",2015,33
Calvin Munson,San Diego State,6,3047530,,LB,"Dec 27, 1994",,
Curtis Grant,Ohio State,,2576384,,,"Dec 28, 1992",,
Andrew Adams,UConn,,2576599,,,"Oct 28, 1992",,
Deontae Skinner,Mississippi State,,17250,,,"Dec 18, 1990",,
Dalvin Tomlinson,Alabama,4,2979860,2,DT,"Feb 28, 1994",2017,55
Jordan Williams,Tennessee,9,2577718,,LB,"Mar 23, 1993",,
Nat Berhe,San Diego State,,16850,5,,"Jul 6, 1991",2014,152
Michael Hunter,Oklahoma State,9,2578305,,CB,"Apr 19, 1993",,
Kerry Wynn,Richmond,2,17296,,DE,"Feb 12, 1991",,
Jay Bromley,Syracuse,9,16776,3,DT,"May 28, 1992",2014,74
Corbin Bryant,Northwestern,,14231,,,"Jan 4, 1988",,
Valentino Blake,UTEP,,15350,,,"Aug 9, 1990",,
Owa Odighizuwa,UCLA,,2510866,3,,"Apr 1, 1992",2015,74
Donte Deayon,Boise State,8,2972896,,CB,"Jan 28, 1994",,
Avery Moss,Youngstown State,1,2974324,5,LB,"Sep 16, 1994",2017,167
B.J. Goodson,Clemson,3,2576489,4,LB,"May 29, 1993",2016,109
Duke Ihenacho,San Jose State,,15190,,,"Jun 16, 1989",,
Eric Pinkins,San Diego State,2,16849,6,LB,"Aug 7, 1991",2014,208
Darian Thompson,Boise State,,2573317,3,,"Sep 22, 1993",2016,71
Jerell Adams,South Carolina,9,2978727,6,TE,"Dec 31, 1992",2016,184
Nigel Tribune,Iowa State,,3039916,,,"Aug 7, 1995",,
Trey Robinson,Furman,,3049852,,,"Dec 30, 1994",,
Roger Lewis,Bowling Green,8,3125745,,WR,"Nov 27, 1993",,
Olivier Vernon,Miami,4,14982,3,DE,"Oct 7, 1990",2012,72
Devin Taylor,South Carolina,,15916,4,,"Nov 15, 1989",2013,132
DaShaun Amos,East Carolina,,2971986,,,"Sep 20, 1994",,
Darius Powe,California,0,2978216,,WR,"Mar 15, 1994",,
Jerome Lane,Akron,,3052561,,,"Mar 9, 1995",,
Keeon Johnson,Virginia,2,3048701,,WR,"Dec 31, 1994",,
Rhett Ellison,USC,5,15003,4,TE,"Oct 3, 1988",2012,128
Khalid Abdullah,James Madison,,3049325,,,"May 14, 1995",,
Travis Rudolph,Florida State,9,3122935,,WR,"Sep 15, 1995",,
Will Tye,Stony Brook,2,2512523,,TE,"Nov 4, 1991",,
Evan Engram,Ole Miss,8,3051876,1,TE,"Sep 2, 1994",2017,23
Matt LaCosse,Illinois,3,2576179,,TE,"Sep 21, 1992",,
Shane Smith,San Jose State,3,2981212,,TE,"Aug 21, 1993",,
Kevin Norwood,Alabama,,16841,4,,"Sep 23, 1989",2014,123
Wayne Gallman,Clemson,2,3045127,4,RB,"Oct 1, 1994",2017,140
Dwayne Harris,East Carolina,7,14100,6,WR,"Sep 16, 1987",2011,176
Orleans Darkwa,Tulane,,17331,,,"Feb 28, 1992",,
Mike Nugent,Ohio State,6,8461,2,PK,"Mar 2, 1982",2005,47
Aldrick Rosas,Southern Oregon,2,3068939,,PK,"Dec 30, 1994",,
Josh Johnson,San Diego,,11394,5,,"May 15, 1986",2008,160
Shane Vereen,California,5,14017,2,RB,"Mar 2, 1989",2011,56
Geno Smith,West Virginia,3,15864,2,QB,"Oct 10, 1990",2013,39
Paul Perkins,UCLA,,2971589,5,,"Nov 16, 1994",2016,149
Brett Jones,University of Regina,,3173563,,,"Jul 29, 1991",,
Brad Wing,LSU,,16241,,,"Jan 27, 1991",,
Davis Webb,California,5,3052600,3,QB,"Jan 22, 1995",2017,87
Jonathan Casillas,Wisconsin,,13045,,,"Jun 3, 1987",,
Janoris Jenkins,North Alabama,0,14974,2,CB,"Oct 29, 1988",2012,39
Dominique Rodgers-Cromartie,Tennessee State,,11250,1,,"Apr 7, 1986",2008,16
Jason Pierre-Paul,South Florida,0,13256,1,DE,"Jan 1, 1989",2010,15
Devon Kennard,USC,2,16820,5,LB,"Jun 24, 1991",2014,174
Chris Casher,Faulkner,,2969917,,,"Dec 30, 1993",,
Sterling Shepard,Oklahoma,7,2976592,2,WR,"Feb 10, 1994",2016,40
Robert Thomas,Arkansas,9,5273,,DT,"Feb 18, 1991",,
Damon Harrison,William Penn,8,15380,,DT,"Nov 29, 1988",,
Steven Daniels,Boston ,,2969870,7,,"Dec 12, 1992",2016,232
Romeo Okwara,Notre Dame,8,2980147,,LB,"Jun 17, 1995",,
Odell Beckham Jr.,LSU,3,16733,1,WR,"Nov 5, 1992",2014,12
Tavarres King,Georgia,2,15911,5,WR,"Jul 14, 1990",2013,161
Brandon Marshall,UCF,5,9705,4,WR,"Mar 23, 1984",2006,119
Eli Manning,Ole Miss,0,5526,1,QB,"Jan 3, 1981",2004,1
Jacob Huesman,None,,2567767,,,"Feb 27, 1993",,
Tim Scott,North Carolina,5,2577110,,CB,"Jan 25, 1993",,
Eli Apple,Ohio State,4,3040506,1,CB,"Aug 9, 1995",2016,10
J.T. Thomas,West Virginia,,14216,6,,"Aug 15, 1988",2011,195
Shaun Draughn,North Carolina,,14518,,,"Dec 7, 1987",,
Stansly Maponga,TCU,,15999,5,,"Mar 5, 1991",2013,153
Ryan Murphy,Oregon State,,2517020,7,,"Oct 14, 1992",2015,248
Josh Banks,Wake Forest,4,2970137,,DT,"Jun 13, 1994",,
Canaan Severin,Virginia,8,2979681,,WR,"Mar 16, 1993",,
Marquis Bundy,New Mexico,6,2974198,,WR,"Aug 5, 1994",,
Bobby Richardson,Indiana,,2578316,,,"Nov 20, 1992",,
Tay Glover-Wright,Utah State,,17158,,,"Jun 28, 1992",,
Daniel Gray,Utah State,,2972235,,,"May 13, 1994",,
Zak DeOssie,Brown,1,10560,4,LS,"May 24, 1984",2007,116
Ed Eagan,Northwestern State,,2974590,,,"Jun 19, 1993",,
C.J. Germany,None,,3939055,,,,,
Ross Cockrell,Duke,7,16843,4,CB,"Aug 6, 1991",2014,109
Justin Pugh,Syracuse,,15808,1,,"Aug 15, 1990",2013,19
Keenan Robinson,Texas,8,15017,4,LB,"Jul 7, 1989",2012,119
Cap Capi,Akron,1,2514374,,DE,"Jul 11, 1992",,
D.J. Fluker,Alabama,,15792,1,,"Mar 13, 1991",2013,11
John Jerry,Ole Miss,,13278,3,,"Jun 14, 1986",2010,73
Bobby Hart,Florida State,8,2576789,7,OT,"Aug 21, 1994",2015,226
Nigel Harris,South Florida,2,3051368,,LB,"Dec 7, 1994",,
Kelvin Sheppard,LSU,,13995,3,,"Jan 2, 1988",2011,68
Akeem Ayers,UCLA,,14015,2,,"Jul 10, 1989",2011,39
Kalif Raymond,Holy Cross,3,2973405,,WR,"Aug 8, 1994",,
Brandon Dixon,Northwest Missouri State,5,16957,6,DB,"Apr 26, 1990",2014,195
Darryl Morris,Texas State,,16367,,,"Sep 4, 1990",,
Ray-Ray Armstrong,Miami,5,16463,,LB,"Mar 5, 1991",,
Jon Halapio,Florida,,16842,6,,"Jun 23, 1991",2014,179
Hunter Sharp,Utah State,5,3125354,,WR,"Apr 25, 1994",,
Chad Wheeler,USC,3,2971615,,OT,"Jan 19, 1994",,
Ryan Smith,North Carolina Central,9,2574666,4,CB,"Sep 7, 1993",2016,108
Kwon Alexander,LSU,8,2976541,4,LB,"Aug 3, 1994",2015,124
Kendell Beckwith,LSU,1,3042733,3,LB,"Dec 2, 1994",2017,107
J.J. Wilcox,Georgia Southern,,15874,3,,"Feb 14, 1991",2013,80
Robert McClain,UConn,,13412,7,,"Jul 22, 1988",2010,249
Devante Bond,Oklahoma,9,3116368,6,LB,"Jul 3, 1993",2016,183
Justin Evans,Texas A&M,,3895859,2,,"Aug 26, 1995",2017,50
Tavaris Barnes,Clemson,,2512398,,,"Nov 2, 1991",,
Javien Elliott,Florida State,5,3116598,,CB,"Jul 18, 1993",,
Clinton McDonald,Memphis,8,12692,7,DT,"Jan 6, 1987",2009,249
Cameron Lynch,Syracuse,3,2577602,,LB,"Aug 4, 1993",,
Jeff Knox Jr.,California (PA),,4081021,,,"Feb 22, 1992",,
Sterling Bailey,Georgia,9,2578530,,DE,"Sep 13, 1992",,
Cody Riggs,Notre Dame,,2516063,,,"Dec 28, 1991",,
Isaiah Johnson,South Carolina,,2570484,,,"Oct 14, 1992",,
DaVonte Lambert,Auburn,5,3121601,,DT,"Jun 23, 1994",,
Chris Conte,California,,14016,3,,"Feb 23, 1989",2011,93
Josh Robinson,UCF,6,14948,3,CB,"Jan 8, 1991",2012,66
Keith Tandy,West Virginia,,15001,6,,"Feb 12, 1989",2012,174
Austin Johnson,Tennessee,6,15765,,FB,"Jun 16, 1989",,
William Gholston,Michigan State,2,16019,4,DE,"Jul 31, 1991",2013,126
Blake Sims,Alabama,,2515957,,,"Jan 3, 1992",,
Cole Gardner,Eastern Michigan,8,2972575,,OT,"Nov 11, 1993",,
Noah Spence,Eastern Kentucky,7,2976313,2,DE,"Jan 8, 1994",2016,39
Riley Bullough,Michigan State,9,2979532,,LB,"Nov 23, 1993",,
Jeremy McNichols,Boise State,3,3127586,5,RB,"Dec 26, 1995",2017,162
Lavonte David,Nebraska,4,14985,2,LB,"Jan 23, 1990",2012,58
Richie Brown,Mississippi State,9,2971373,,LB,"Apr 15, 1994",,
Vernon Hargreaves III,Florida,8,3054955,1,CB,"Jun 3, 1995",2016,11
Mike Evans,Texas A&M,3,16737,1,WR,"Aug 21, 1993",2014,7
Alan Cross,Memphis,5,2586700,,TE,"May 2, 1993",,
Cameron Brate,Harvard,4,17453,,TE,"Jul 3, 1991",,
Bernard Reedy,Toledo,8,17032,,WR,"Dec 31, 1991",,
Freddie Martino,North Greenville,6,17205,,WR,"Sep 7, 1991",,
Chris Godwin,Penn State,2,3116165,3,WR,"Feb 27, 1996",2017,84
Bobo Wilson,Florida State,5,3045380,,WR,"Jan 25, 1995",,
Tevin Westbrook,Florida,,2578588,,,"Jan 17, 1993",,
Russell Hansbrough,Missouri,5,2971435,,RB,"Nov 19, 1993",,
Josh Huff,Oregon,5,16779,3,WR,"Oct 14, 1991",2014,86
DeSean Jackson,California,1,11283,2,WR,"Dec 1, 1986",2008,49
Jacquizz Rodgers,Oregon State,2,14193,5,RB,"Feb 6, 1990",2011,145
Adam Humphries,Clemson,0,2576491,,WR,"Jun 24, 1993",,
Derel Walker,Texas A&M,,17275,,,"Jun 29, 1991",,
O.J. Howard,Alabama,0,3043080,1,TE,"Nov 19, 1994",2017,19
Peyton Barber,Auburn,5,3051902,,RB,"Feb 27, 1994",,
Nick Folk,Arizona,,10621,6,,"Nov 5, 1984",2007,178
Roberto Aguayo,Florida State,4,2978887,2,PK,"May 17, 1994",2016,59
Charles Sims,West Virginia,4,16749,3,RB,"Sep 19, 1990",2014,69
Ryan Fitzpatrick,Harvard,4,8664,7,QB,"Nov 24, 1982",2005,250
Sefo Liufau,Colorado,,3052118,,,"Oct 29, 1994",,
Doug Martin,Boise State,8,14885,1,RB,"Jan 13, 1989",2012,31
Bryan Anger,California,,14950,3,,"Oct 6, 1988",2012,70
Jameis Winston,Florida State,3,2969939,1,QB,"Jan 6, 1994",2015,1
Ryan Griffin,Tulane,4,16140,,QB,"Nov 17, 1989",,
Adarius Taylor,Florida Atlantic,3,17401,,LB,"Sep 21, 1990",,
Jonathan Moxey,Boise State,5,3042884,,CB,"Jan 14, 1995",,
Maurice Fleming,West Virginia,0,2979525,,CB,"Dec 6, 1993",,
Chris Baker,Hampton,2,12760,,DT,"Oct 8, 1987",,
Shaq Hill,Eastern Washington,,2565330,,,"May 12, 1993",,
Channing Ward,Ole Miss,,2984056,,,"Sep 17, 1992",,
Robert Ayers,Tennessee,,12432,1,,"Sep 6, 1985",2009,18
Gerald McCoy,Oklahoma,3,13240,1,DT,"Feb 25, 1988",2010,3
George Johnson,Rutgers,0,13812,,DE,"Dec 11, 1987",,
Antony Auclair,None,2,4081127,,TE,"May 28, 1993",,
Ryan Russell,Purdue,9,2511687,5,DE,"Jan 17, 1992",2015,163
Sealver Siliga,Utah,8,14441,,DT,"Apr 26, 1990",,
Michael Liedtke,Illinois State,,2566837,,,"Jan 15, 1992",,
Donteea Dye,Heidelberg,,3894952,,,"Aug 20, 1993",,
Marqueston Huff,Wyoming,,16904,4,,"Apr 6, 1992",2014,122
Mehdi Abdesmad,Boston ,,2576467,,,"Sep 28, 1991",,
Mariel Cooper,The Citadel,,2580324,,,"Jan 10, 1993",,
Vernon Harris,Dartmouth,,2969220,,,"Jun 25, 1994",,
Hendrick Ekpe,Minnesota,,3040186,,,"Jun 30, 1995",,
Zach Hocker,Arkansas,,16916,7,,"Aug 23, 1991",2014,228
Brent Grimes,Shippensburg,4,10913,,CB,"Jul 19, 1983",,
T.J. Ward,Oregon,,13304,2,,"Dec 12, 1986",2010,38
Demar Dotson,Southern Mississippi,9,13050,,OT,"Oct 11, 1985",,
Will Clarke,West Virginia,4,16758,3,DE,"May 4, 1991",2014,88
Ali Marpet,Hobart,,3165702,2,,"Apr 17, 1993",2015,61
Luke Stocker,Tennessee,8,14099,4,TE,"Jul 17, 1988",2011,104
Patrick Murray,Fordham,,16684,,,"Jun 22, 1991",,
Evan Smith,Idaho State,,12972,,,"Jul 19, 1986",,
Darryl Tapp,Virginia Tech,,9649,2,,"Sep 13, 1984",2006,63
Deji Olatoye,North Carolina A&T,,17224,,,"Jul 20, 1991",,
Caleb Benenoch,UCLA,,3047575,5,,"Aug 8, 1994",2016,148
Leonard Wester,Missouri Western,1,4002060,,OT,"Jan 3, 1993",,
KeiVarae Russell,Notre Dame,0,2980150,3,CB,"Oct 19, 1993",2016,74
Jordan Evans,Oklahoma,0,3052660,6,LB,"Jan 27, 1995",2017,193
Nick Vigil,Utah State,9,2971816,3,LB,"Aug 20, 1993",2016,87
Hardy Nickerson,Illinois,6,2978211,,LB,"Jan 5, 1994",,
Demetrious Cox,Michigan State,,2979535,,,"Apr 20, 1994",,
William Jackson,Houston,2,3061106,1,CB,"Oct 27, 1992",2016,24
Jordan Willis,Kansas State,5,3052434,3,DE,"May 2, 1995",2017,73
Vincent Rey,Duke,7,13766,,LB,"Sep 6, 1987",,
Shawn Williams,Georgia,,15877,3,,"May 13, 1991",2013,84
Chris Smith,Arkansas,0,16917,5,DE,"Feb 11, 1992",2014,159
Kevin Minter,LSU,3,15856,2,LB,"Dec 3, 1990",2013,45
Bene Benwikere,San Jose State,3,16872,5,CB,"Sep 3, 1991",2014,148
Derron Smith,Fresno State,,2517248,6,,"Feb 4, 1992",2015,197
Josh Shaw,USC,6,2971605,4,CB,"Mar 27, 1992",2015,120
Clayton Fejedelem,Illinois,,3042455,7,,"Jun 2, 1993",2016,245
Geno Atkins,Georgia,7,13311,4,DT,"Mar 28, 1988",2010,120
Vontaze Burfict,Arizona State,5,15246,,LB,"Sep 24, 1990",,
Darqueze Dennard,Michigan State,1,16718,1,CB,"Oct 10, 1991",2014,24
Brandon Thompson,Clemson,,14965,3,,"Oct 19, 1989",2012,93
Marquis Flowers,Arizona,9,16924,6,LB,"Feb 16, 1992",2014,212
Tra Carson,Texas A&M,3,2972283,,RB,"Oct 24, 1992",,
Josh Tupou,Colorado,1,2979632,,DT,"May 2, 1994",,
Cody Core,Ole Miss,6,2980378,6,WR,"Apr 17, 1994",2016,199
Marcus Hardison,Arizona State,7,3043238,4,NT,"Feb 14, 1992",2015,135
Brandon Bell,Penn State,1,3057972,,LB,"Jan 9, 1995",,
Ryan Glasgow,Michigan,8,2977635,4,DT,"Sep 30, 1993",2017,138
Bryson Albright,Miami (OH),,2978064,,,"Mar 15, 1994",,
Andrew Billings,Baylor,9,3051775,4,DT,"Mar 6, 1995",2016,122
Carl Lawson,Auburn,8,3051911,4,DE,"Jun 29, 1995",2017,116
Adam Jones,West Virginia,,8421,1,,"Sep 30, 1983",2005,6
Pat Sims,Auburn,,11311,3,,"Nov 29, 1985",2008,77
DeShawn Williams,Clemson,3,2576508,,DT,"Dec 29, 1992",,
Alex Erickson,Wisconsin,2,2977800,,WR,"Nov 6, 1992",,
A.J. Green,Georgia,8,13983,1,WR,"Jul 31, 1988",2011,4
Kermit Whitfield,Florida State,7,3045379,,WR,"Oct 8, 1993",,
Cethan Carter,Nebraska,2,3040470,,TE,"Sep 5, 1993",,
Brandon LaFell,LSU,,12576,3,,"Nov 4, 1986",2010,78
Josh Malone,Tennessee,0,3115330,4,WR,"Mar 21, 1996",2017,128
Joe Mixon,Oklahoma,8,3116385,2,RB,"Jul 24, 1996",2017,48
Tyler Boyd,Pittsburgh,3,3045144,2,WR,"Nov 15, 1994",2016,55
Tyler Eifert,Notre Dame,5,15788,1,TE,"Sep 8, 1990",2013,21
Jeremy Hill,LSU,3,16803,2,RB,"Oct 20, 1992",2014,55
Chris Brown,Notre Dame,,2980137,,,"Dec 8, 1993",,
Randy Bullock,Texas A&M,4,15091,5,PK,"Dec 16, 1989",2012,161
